ID,TITRE,PRIX,ARR,LINK,M2,PIECES
968,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6794419247.html,43,1
969,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778427365.html,27,1
970,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6778419624.html,13,1
971,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778976397.html,27,1
977,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778435559.html,27,1
1018,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6799350847.html,13,1
1024,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6779389945.html,27,1
1025,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781440311.html,15,1
1026,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781435232.html,15,1
1027,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781444690.html,15,1
1028,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6778989394.html,30,1
1058,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6778989312.html,30,1
1059,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778434832.html,27,1
1072,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6778415917.html,13,1
1095,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6782480107.html,15,1
1096,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6794419522.html,43,1
1097,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781444458.html,15,1
1111,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6777550237.html,13,1
1112,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778976683.html,27,1
1117,FURNISHED AMAZING 1 BEDROOM STUDIO APARTMENT AVAILABLE NOW,700,Paris,https://paris.craigslist.org/apa/d/furnished-amazing-1-bedroom-studio/6797730453.html,60,1
1171,Studio en mezzanine 18m² à 4min du métro Villiers-Paris8,500,500€ PER MONTH,https://paris.craigslist.org/apa/d/studio-en-mezzanine-18m-4min-du-mtro/6776243939.html,18,1
1172,"Joli T2 45m² à 6min "" Métro George V "" Paris 8è",585,585€ PER MONTH,https://paris.craigslist.org/apa/d/joli-t2-45m-6min-mtro-george-paris-8/6776156883.html,45,1
1255,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6795177274.html,43,1
1266,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6774503086.html,13,1
1363,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778427446.html,27,1
1364,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6778418358.html,13,1
1391,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781440447.html,15,1
1392,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6779828626.html,27,1
1393,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6777548009.html,13,1
1394,Stable Lighty Studio In Molière,400,Rue Molière,https://paris.craigslist.org/apa/d/stable-lighty-studio-in-molire/6787377729.html,30,1
1395,The Treasury Montmartre - luxury 2 bed Apartment With Wireless Network,500,Rue Caulaincourt,https://paris.craigslist.org/apa/d/the-treasury-montmartre-luxury-2-bed/6788859835.html,70,1
1396,The Treasury Montmartre - luxury 2 bed Apartment With Wireless Network,500,Rue Caulaincourt,https://paris.craigslist.org/apa/d/the-treasury-montmartre-luxury-2-bed/6790874791.html,70,1
1397,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6779829368.html,13,1
1398,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6779829371.html,13,1
1399,Stable Lighty Studio In Molière,400,Rue Molière,https://paris.craigslist.org/apa/d/stable-lighty-studio-in-molire/6788859393.html,30,1
1400,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6788863089.html,30,1
1401,Stable Lighty Studio In Molière,400,Rue Molière,https://paris.craigslist.org/apa/d/stable-lighty-studio-in-molire/6788859310.html,30,1
1402,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6788863070.html,30,1
1403,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6787382450.html,15,1
1420,Fully Furnished Studio in the Center of Paris,650,3 rue de chazelles,https://paris.craigslist.org/apa/d/fully-furnished-studio-in-the-center-of/6790539149.html,11,1
1433,Apartment** near^ the Paris center^^2 BR & 2  BATH***,720,paris,https://paris.craigslist.org/apa/d/apartment-near-the-paris-center2-br-2/6769982145.html,68,2
1521,The Treasury Montmartre - luxury 2 bed Apartment With Wireless Network,500,Rue Caulaincourt,https://paris.craigslist.org/apa/d/the-treasury-montmartre-luxury-2-bed/6787383243.html,70,1
1556,FURNISHED STUDIO APARTMENT WITH BALCONY IN   PARIS,660,paris,https://paris.craigslist.org/apa/d/furnished-studio-apartment-with-balcony/6767721433.html,57,1
1578,STUDIO for student in PARIS 17th,680,Arc Triomphe,https://paris.craigslist.org/apa/d/studio-for-student-in-paris-17th/6785041030.html,11,1
