TITRE,PRIX,ARR,LINK,M2,PIECES
Paris apartment rental near Madeleine,€3775,1st arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-madeleine/6794437179.html,100,
"Appartement 2 chambres, Rue Custine",€1990,18ème,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6794437716.html,57,
Furnished 2 rooms last floor w. elevator,€900,6th - Montparnasse,https://paris.craigslist.org/apa/d/furnished-2-rooms-last-floor-elevator/6786546976.html,,1
White Lighty Apartment For Renting,€550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6794419522.html,43,1
White Lighty Apartment For Renting,€550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6794419247.html,43,1
Studio Apartment In Rue des Jeuneurs,€550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6792069505.html,15,1
Studio Apartment In Rue des Jeuneurs,€550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781441680.html,15,1
Studio Apartment In Rue des Jeuneurs,€550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6792070108.html,15,1
LOUVRE LOVELY APARTMENT LOCATED IN PARIS,€600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6792080069.html,30,1
LOUVRE LOVELY APARTMENT LOCATED IN PARIS,€600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6792079106.html,30,1
Studio Luxueux Aux Buttes Chaumont,€500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778976683.html,27,1
Lovely Apartment In Paris,€450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6774503086.html,13,1
Studio Apartment In Rue des Jeuneurs,€550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6777551706.html,15,1
Studio Luxueux Aux Buttes Chaumont,€500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6778976397.html,27,1
The Treasury Montmartre - luxury 2 bed Apartment With Wireless Network,€500,Rue Caulaincourt,https://paris.craigslist.org/apa/d/the-treasury-montmartre-luxury-2-bed/6792061919.html,70,1
Apartment in Paris for monthly rental,,Paris,https://paris.craigslist.org/apa/d/apartment-in-paris-for-monthly-rental/6794417640.html,,
"Studio mezzanine (21m²), proche Notre-Dame, Quai de la Tournelle",€1250,5ème arrondissement,https://paris.craigslist.org/apa/d/studio-mezzanine-21m-proche-notre-dame/6794417261.html,21,
€400 / 1br - .Private Apartment - Central Paris - City Views,€400,"Boulevard de Sébastopol, 3rd arr., 75002 Paris, France",https://paris.craigslist.org/apa/d/400-1br-private-apartment-central-paris/6787625527.html,,1
Your flat in Paris for a long and Short term stay,€400,Boulevard de Sébastopol,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-and-short/6787624871.html,,1
Paris apartment rental near Invalides,€2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6794417708.html,58,
